slumdog millionaire,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e2fe98144cce5b901a95dc_Slumdog_Millionaire.txt,1010048,1
silver linings playbook,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301b71f7f8ee49901b143_Silver_Linings_Playbook.txt,1045658,3
bridesmaids,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301b81f7f8ee49901b19b_Bridesmaids.txt,1478338,3
colombiana,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301b81f7f8ee49901b1a8_Colombiana.txt,1657507,1
avatar,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301b81f7f8ee49901b3bc_Avatar.txt,499549,
he s just not that into you,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301b81f7f8ee49901b412_He_s_Just_Not_That_Into_You.txt,1001508,3
sherlock holmes,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301b91f7f8ee49901b474_Sherlock_Holmes.txt,988045,
sex and the city,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301b91f7f8ee49901b53f_Sex_and_the_City.txt,159206,
the hitchhiker s guide to the galaxy,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301ba1f7f8ee49901b6d8_The_Hitchhiker_s_Guide_to_the_Galaxy.txt,371724,
charlie s angels,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301bb1f7f8ee49901b8bc_Charlie_s_Angels.txt,160127,
cruel intentions,agarwal,./data/agarwal2015_screenplays/eva_test_set/51e301bb1f7f8ee49901b909_Cruel_Intentions.txt,139134,
the african queen,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94d1_The_African_Queen.txt,43265,
amadeus,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94d7_Amadeus.txt,86879,
american beauty,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94d8_American_Beauty.txt,169547,
austin powers  international man of mystery,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94e3_Austin_Powers__International_Man_of_Mystery.txt,118655,
batman,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94ee_Batman.txt,96895,
batman begins,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94ef_Batman_Begins.txt,372784,
being john malkovich,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94f1_Being_John_Malkovich.txt,120601,
big fish,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94f3_Big_Fish.txt,319061,
the birds,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94f5_The_Birds.txt,56869,
the bourne identity,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94fd_The_Bourne_Identity.txt,258463,
the bourne supremacy,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a94fe_The_Bourne_Supremacy.txt,372183,
capote,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9505_Capote.txt,379725,
